HASH,HASH_W_LEADING_ZEROS,API_NAME
0xb7a70bc3,0xb7a70bc3,??ZTimeStampValue@mozilla@@QAEAAV01@_J@Z
0x4e9c21a9,0x4e9c21a9,??ZTimeStampValue@mozilla@@QEAAAEAV01@_J@Z
0xde46ec3f,0xde46ec3f,??_0Decimal@blink@@QAEAAV01@ABV01@@Z
0x523872ca,0x523872ca,??_0Decimal@blink@@QEAAAEAV01@AEBV01@@Z
0x1a9994d3,0x1a9994d3,??_7SoundTouch@soundtouch@@6B@
0x868dd15c,0x868dd15c,??_7__non_rtti_object@@6B@
0xd8c993ec,0xd8c993ec,??_7bad_cast@@6B@
0xe1144330,0xe1144330,??_7bad_typeid@@6B@
0x3e22526a,0x3e22526a,??_7exception@@6B@
0x8473b8d2,0x8473b8d2,??_FDecimal@blink@@QAEXXZ
0x1bea76f3,0x1bea76f3,??_FDecimal@blink@@QEAAXXZ
0xa9f5d482,0xa9f5d482,??_FLZ4FrameDecompressionContext@Compression@mozilla@@QAEXXZ
0xf1b008a3,0xf1b008a3,??_FLZ4FrameDecompressionContext@Compression@mozilla@@QEAAXXZ
0x56a2c6c4,0x56a2c6c4,??_FUniqueJSONStrings@baseprofiler@mozilla@@QAEXXZ
0x33fb4325,0x33fb4325,??_FUniqueJSONStrings@baseprofiler@mozilla@@QEAAXXZ
0x3af7cae4,0x3af7cae4,??_Fbad_cast@@QAEXXZ
0xf9252368,0xf9252368,??_Fbad_typeid@@QAEXXZ
0xf4add247,0xf4add247,??_U@YAPAXI@Z
0x8d7101ee,0x8d7101ee,??_U@YAPAXIABUnothrow_t@std@@@Z
0xc64bb17,0x0c64bb17,??_V@YAXPAX@Z
0xb4c4febe,0xb4c4febe,??_V@YAXPAXABUnothrow_t@std@@@Z
0x98fc4140,0x98fc4140,??_V@YAXPAXI@Z
0x39b6e94f,0x39b6e94f,?AddRef@PageInformation@baseprofiler@mozilla@@QBEXXZ
0x7750a6f0,0x7750a6f0,?AddRef@PageInformation@baseprofiler@mozilla@@QEBAXXZ
0x3b14d7b0,0x3b14d7b0,?AddRef@ThreadInfo@baseprofiler@mozilla@@QBEXXZ
0xa46c6171,0xa46c6171,?AddRef@ThreadInfo@baseprofiler@mozilla@@QEBAXXZ
0xa6ddb446,0xa6ddb446,?BeginCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QAE?AV?$Result@V?$Span@$$CBD$0PPPPPPPP@@mozilla@@I@3@V?$Span@D$0PPPPPPPP@@3@@Z
0xedfa70e6,0xedfa70e6,?BeginCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QEAA?AV?$Result@V?$Span@$$CBD$0?0@mozilla@@_K@3@V?$Span@D$0?0@3@@Z
0x75e7c257,0x75e7c257,?BeginProcessRuntimeInit@detail@mscom@mozilla@@YAAAW4ProcessInitState@123@XZ
0x8bbe4ff4,0x8bbe4ff4,?BeginProcessRuntimeInit@detail@mscom@mozilla@@YAAEA_NXZ
0x4b8e17a6,0x4b8e17a6,?CacheNtDllThunk@mozilla@@YAXXZ
