HASH,HASH_W_LEADING_ZEROS,API_NAME
0x312d04cc,0x312d04cc,??_V@YAXPAXABUnothrow_t@std@@@Z
0x47ae948,0x047ae948,??_V@YAXPAXI@Z
0x869b406a,0x869b406a,?AddRef@PageInformation@baseprofiler@mozilla@@QBEXXZ
0x445fd25e,0x445fd25e,?AddRef@PageInformation@baseprofiler@mozilla@@QEBAXXZ
0x2a45fd2d,0x2a45fd2d,?AddRef@ThreadInfo@baseprofiler@mozilla@@QBEXXZ
0xac4bd8d0,0xac4bd8d0,?AddRef@ThreadInfo@baseprofiler@mozilla@@QEBAXXZ
0x51f4710e,0x51f4710e,?BeginCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QAE?AV?$Result@V?$Span@$$CBD$0PPPPPPPP@@mozilla@@I@3@V?$Span@D$0PPPPPPPP@@3@@Z
0xe00637f0,0xe00637f0,?BeginCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QEAA?AV?$Result@V?$Span@$$CBD$0?0@mozilla@@_K@3@V?$Span@D$0?0@3@@Z
0x1f2a70d1,0x1f2a70d1,?BeginProcessRuntimeInit@detail@mscom@mozilla@@YAAAW4ProcessInitState@123@XZ
0x3309954e,0x3309954e,?BeginProcessRuntimeInit@detail@mscom@mozilla@@YAAEA_NXZ
0x94c2a408,0x94c2a408,?CacheNtDllThunk@mozilla@@YAXXZ
0xfd7b7d34,0xfd7b7d34,?CheckQPC@TimeStampValue@mozilla@@ABE_KABV12@@Z
0xca7359de,0xca7359de,?CheckQPC@TimeStampValue@mozilla@@AEBA_KAEBV12@@Z
0x65abe85a,0x65abe85a,?CleanupProcessRuntime@mozilla@@YAXXZ
0x3739c932,0x3739c932,?ComputeProcessUptime@TimeStamp@mozilla@@CA_KXZ
0xa90468c8,0xa90468c8,?ConsumePreXULSkeletonUIHandle@mozilla@@YAPAUHWND__@@XZ
0x860346fe,0x860346fe,?ConsumePreXULSkeletonUIHandle@mozilla@@YAPEAUHWND__@@XZ
0xa2e26d5e,0xa2e26d5e,?ContinueCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QAE?AV?$Result@V?$Span@$$CBD$0PPPPPPPP@@mozilla@@I@3@V?$Span@$$CBD$0PPPPPPPP@@3@@Z
0xe8e9271d,0xe8e9271d,?ContinueCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QEAA?AV?$Result@V?$Span@$$CBD$0?0@mozilla@@_K@3@V?$Span@$$CBD$0?0@3@@Z
0xd4828346,0xd4828346,?CreateAndStorePreXULSkeletonUI@mozilla@@YAXPAUHINSTANCE__@@HPAPAD@Z
0x58dd6114,0x58dd6114,?CreateAndStorePreXULSkeletonUI@mozilla@@YAXPEAUHINSTANCE__@@HPEAPEAD@Z
0xbd5d58d5,0xbd5d58d5,?CreateDecimalRepresentation@DoubleToStringConverter@double_conversion@@ABEXPBDHHHPAVStringBuilder@2@@Z
0xd8e5a269,0xd8e5a269,?CreateDecimalRepresentation@DoubleToStringConverter@double_conversion@@AEBAXPEBDHHHPEAVStringBuilder@2@@Z
0x85719261,0x85719261,?CreateExponentialRepresentation@DoubleToStringConverter@double_conversion@@ABEXPBDHHPAVStringBuilder@2@@Z
0x4dbe0bb,0x04dbe0bb,?CreateExponentialRepresentation@DoubleToStringConverter@double_conversion@@AEBAXPEBDHHPEAVStringBuilder@2@@Z
0xca3373a1,0xca3373a1,?Decompress@LZ4FrameDecompressionContext@Compression@mozilla@@QAE?AV?$Result@ULZ4FrameDecompressionResult@Compression@mozilla@@I@3@V?$Span@D$0PPPPPPPP@@3@V?$Span@$$CBD$0PPPPPPPP@@3@@Z
0xe05fb115,0xe05fb115,?Decompress@LZ4FrameDecompressionContext@Compression@mozilla@@QEAA?AV?$Result@ULZ4FrameDecompressionResult@Compression@mozilla@@_K@3@V?$Span@D$0?0@3@V?$Span@$$CBD$0?0@3@@Z
0x6452bfd8,0x6452bfd8,?DeserializerForTag@Streaming@base_profiler_markers_detail@mozilla@@SAP6AXAAVProfileBufferEntryReader@3@AAVSpliceableJSONWriter@baseprofiler@3@@ZE@Z
0x68bd2acb,0x68bd2acb,?DeserializerForTag@Streaming@base_profiler_markers_detail@mozilla@@SAP6AXAEAVProfileBufferEntryReader@3@AEAVSpliceableJSONWriter@baseprofiler@3@@ZE@Z
0x8f4dc712,0x8f4dc712,?DllBlocklist_CheckStatus@@YA_NXZ
0x546a680d,0x546a680d,?DllBlocklist_Initialize@@YAXI@Z
0x9303882b,0x9303882b,?DllBlocklist_SetBasicDllServices@@YAXPAVDllServicesBase@detail@glue@mozilla@@@Z
0xd9bf5c23,0xd9bf5c23,?DllBlocklist_SetBasicDllServices@@YAXPEAVDllServicesBase@detail@glue@mozilla@@@Z
0xb63c9d62,0xb63c9d62,?DllBlocklist_SetFullDllServices@@YAXPAVDllServicesBase@detail@glue@mozilla@@@Z
0xd69a9a02,0xd69a9a02,?DllBlocklist_SetFullDllServices@@YAXPEAVDllServicesBase@detail@glue@mozilla@@@Z
0xb15ad097,0xb15ad097,?DllBlocklist_WriteNotes@@YAXAAVAnnotationWriter@CrashReporter@@@Z
0x373b584f,0x373b584f,?DllBlocklist_WriteNotes@@YAXAEAVAnnotationWriter@CrashReporter@@@Z
0x37f1abd5,0x37f1abd5,?DoubleToAscii@DoubleToStringConverter@double_conversion@@SAXNW4DtoaMode@12@HPADHPA_NPAH3@Z
0xefab021b,0xefab021b,?DoubleToAscii@DoubleToStringConverter@double_conversion@@SAXNW4DtoaMode@12@HPEADHPEA_NPEAH3@Z
0xa24f5e21,0xa24f5e21,?EcmaScriptConverter@DoubleToStringConverter@double_conversion@@SAABV12@XZ
0x3f4704cc,0x3f4704cc,?EcmaScriptConverter@DoubleToStringConverter@double_conversion@@SAAEBV12@XZ
0xc9b1cb0b,0xc9b1cb0b,?EndCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QAE?AV?$Result@V?$Span@$$CBD$0PPPPPPPP@@mozilla@@I@3@XZ
0xdbf73bf0,0xdbf73bf0,?EndCompressing@LZ4FrameCompressionContext@Compression@mozilla@@QEAA?AV?$Result@V?$Span@$$CBD$0?0@mozilla@@_K@3@XZ
0xa831c179,0xa831c179,?EndProcessRuntimeInit@detail@mscom@mozilla@@YAXXZ
0x96a98757,0x96a98757,?EnsureBufferForMainThreadAddMarker@base_profiler_markers_detail@mozilla@@YAXXZ
0xd67cfae8,0xd67cfae8,?ExtractBaseProfilerChunkManager@detail@baseprofiler@mozilla@@YA?AV?$UniquePtr@VProfileBufferChunkManagerWithLocalLimit@mozilla@@V?$DefaultDelete@VProfileBufferChunkManagerWithLocalLimit@mozilla@@@2@@3@XZ
0x76f0812,0x076f0812,?FilterHasPid@detail@profiler@mozilla@@YA_NPBDVBaseProfilerProcessId@baseprofiler@3@@Z
0x71ba2998,0x71ba2998,?FiltersExcludePid@detail@profiler@mozilla@@YA_NV?$Span@QBD$0PPPPPPPP@@3@VBaseProfilerProcessId@baseprofiler@3@@Z
0x2b57c7a,0x02b57c7a,?FirstTimeStamp@TimeStamp@mozilla@@SA?AV12@XZ
0x5e4c1ec7,0x5e4c1ec7,?FormatToStringSpan@MarkerSchema@mozilla@@CA?AV?$Span@$$CBD$0?0@2@W4Format@12@@Z
0x681c5998,0x681c5998,?FormatToStringSpan@MarkerSchema@mozilla@@CA?AV?$Span@$$CBD$0PPPPPPPP@@2@W4Format@12@@Z
0x7203b1b3,0x7203b1b3,?FramePointerStackWalk@mozilla@@YAXP6AXIPAX00@ZI0PAPAX0@Z
0x2a6e1146,0x2a6e1146,?FramePointerStackWalk@mozilla@@YAXP6AXIPEAX00@ZI0PEAPEAX0@Z
0xb54faa13,0xb54faa13,?GenerateRandomBytesFromOS@mozilla@@YA_NPAXI@Z
0xb3978e64,0xb3978e64,?GetAccessibilityResource@ActCtxResource@mscom@mozilla@@SA?AU123@XZ
0x9e6e8999,0x9e6e8999,?GetAccessibilityResourceId@ActCtxResource@mscom@mozilla@@SAGXZ
0xd2a19d72,0xd2a19d72,?GetCachedNtDllThunk@mozilla@@YAPAV?$Buffer@U_IMAGE_THUNK_DATA32@@@1@XZ
